Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,WDIR_flag,WDIR_avg_flag
2024-03-01 00:00:00,20.53,97.9,1.54,1.982,106.2,18.65,0.0,986.102,-0.001,,
2024-03-01 00:01:00,20.53,97.8,1.45,2.849,102.9,19.54,0.0,986.079,-0.001,,
2024-03-01 00:02:00,20.52,97.8,1.394,2.149,109.9,11.08,0.0,986.06,-0.001,,
2024-03-01 00:03:00,20.53,97.8,2.372,2.866,115.1,11.93,0.0,986.029,-0.001,,
2024-03-01 00:04:00,20.53,97.9,1.797,2.1,122.5,18.06,0.0,986.007,-0.001,,
2024-03-01 00:05:00,20.52,97.9,2.162,2.599,124.7,7.188,0.0,985.982,-0.001,,
2024-03-01 00:06:00,20.49,97.9,1.85,2.399,115.2,11.41,0.0,985.952,-0.001,,
2024-03-01 00:07:00,20.49,97.9,2.202,2.715,118.2,9.04,0.0,985.933,-0.001,,
2024-03-01 00:08:00,20.48,98.0,2.144,2.715,129.5,18.53,0.0,985.906,-0.001,,
2024-03-01 00:09:00,20.48,98.0,2.377,2.715,117.8,5.92,0.0,985.884,-0.001,,
2024-03-01 00:10:00,20.48,98.0,2.079,2.766,117.4,12.19,0.0,985.854,-0.001,,
2024-03-01 00:11:00,20.49,98.1,2.06,2.433,110.1,9.59,0.0,985.822,-0.001,,
2024-03-01 00:12:00,20.48,98.1,2.135,2.632,115.5,10.5,0.0,985.794,-0.002,,
2024-03-01 00:13:00,20.48,98.1,1.693,2.149,111.8,9.41,0.0,985.775,-0.001,,
2024-03-01 00:14:00,20.49,98.1,1.768,2.016,115.0,6.83,0.0,985.766,-0.002,,
2024-03-01 00:15:00,20.48,98.1,2.678,3.232,117.0,7.144,0.0,985.764,-0.001,,
2024-03-01 00:16:00,20.48,98.2,1.902,2.416,120.5,24.08,0.0,985.76,-0.001,,
2024-03-01 00:17:00,20.49,98.2,2.224,2.766,117.6,8.28,0.0,985.759,-0.001,,
2024-03-01 00:18:00,20.48,98.3,2.249,2.666,114.9,10.45,0.0,985.759,-0.001,,
2024-03-01 00:19:00,20.48,98.3,1.647,2.066,122.8,12.4,0.0,985.756,-0.001,,
2024-03-01 00:20:00,20.49,98.3,1.919,2.632,124.9,15.51,0.0,985.745,-0.001,,
2024-03-01 00:21:00,20.49,98.5,2.526,3.415,122.8,8.39,0.0,985.731,-0.001,,
2024-03-01 00:22:00,20.52,98.5,1.578,2.1,120.8,14.45,0.0,985.715,-0.001,,
2024-03-01 00:23:00,20.53,98.5,1.761,2.632,114.8,11.46,0.0,985.707,-0.001,,
2024-03-01 00:24:00,20.53,98.4,2.428,2.866,128.1,3.42,0.0,985.704,-0.001,,
2024-03-01 00:25:00,20.52,98.5,2.232,2.548,118.7,11.02,0.0,985.715,-0.001,,
