Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,RH_flag,WSpeed_flag,WSpeed_max_flag,WDIR_flag,WDIR_avg_flag,Rain_Tot_flag,Pres_flag,Rad_flag
2024-06-01 00:00:00,25.51,87.4,1.557,2.632,97.2,30.48,0.0,981.213,-0.002,,,,,,,,,
2024-06-01 00:01:00,25.51,87.4,3.069,4.398,121.0,16.43,0.0,981.223,-0.001,,,,,,,,,
2024-06-01 00:02:00,25.51,87.5,2.39,3.465,106.3,9.73,0.0,981.226,-0.002,,,,,,,,,
2024-06-01 00:03:00,25.5,87.6,2.678,3.465,106.7,9.38,0.0,981.21,-0.002,,,,,,,,,
2024-06-01 00:04:00,25.46,87.7,2.157,3.016,112.7,12.17,0.0,981.224,-0.002,,,,,,,,,
2024-06-01 00:05:00,25.46,87.8,3.16,3.366,117.2,10.0,0.0,981.218,-0.001,,,,,,,,,
2024-06-01 00:06:00,25.46,87.9,2.548,3.715,108.8,25.48,0.0,981.219,-0.002,,,,,,,,,
2024-06-01 00:07:00,25.43,88.0,2.191,2.599,103.5,19.24,0.0,981.206,-0.001,,,,,,,,,
2024-06-01 00:08:00,25.41,88.0,2.276,3.366,106.6,17.16,0.0,981.199,-0.001,,,,,,,,,
2024-06-01 00:09:00,25.42,88.1,1.539,2.149,112.5,19.53,0.0,981.199,-0.001,,,,,,,,,
2024-06-01 00:10:00,25.41,88.1,2.863,3.482,99.2,6.547,0.0,981.187,-0.001,,,,,,,,,
2024-06-01 00:11:00,25.41,88.2,2.723,3.715,109.3,11.31,0.0,981.179,-0.001,,,,,,,,,
2024-06-01 00:12:00,25.41,88.2,2.355,3.283,110.5,14.8,0.0,981.191,-0.002,,,,,,,,,
2024-06-01 00:13:00,25.41,88.3,2.871,3.631,111.0,8.32,0.0,981.207,-0.001,,,,,,,,,
2024-06-01 00:14:00,25.38,88.3,1.505,2.548,98.4,25.87,0.0,981.22,-0.001,,,,,,,,,
2024-06-01 00:15:00,25.37,88.3,2.025,2.982,99.8,9.28,0.0,981.244,-0.001,,,,,,,,,
2024-06-01 00:16:00,25.37,88.4,1.666,2.433,103.2,26.96,0.0,981.254,-0.001,,,,,,,,,
2024-06-01 00:17:00,25.37,88.6,2.744,3.516,102.6,13.74,0.0,981.242,-0.001,,,,,,,,,
2024-06-01 00:18:00,25.34,88.8,2.421,2.7,105.1,10.81,0.0,981.278,-0.002,,,,,,,,,
2024-06-01 00:19:00,25.32,88.8,0.913,1.533,104.0,8.4,0.0,981.286,-0.002,,,,,,,,,
2024-06-01 00:20:00,25.32,88.7,0.952,2.166,117.1,17.37,0.0,981.28,-0.001,,,,,,,,,
2024-06-01 00:21:00,25.32,88.8,1.919,2.565,98.7,19.27,0.0,981.267,-0.001,,,,,,,,,
2024-06-01 00:22:00,25.32,89.0,2.096,2.882,106.3,9.02,0.0,981.268,-0.001,,,,,,,,,
2024-06-01 00:23:00,25.29,89.1,1.661,3.232,97.9,21.39,0.0,981.266,-0.001,,,,,,,,,
2024-06-01 00:24:00,25.28,89.2,1.753,2.332,95.4,21.17,0.0,981.284,-0.001,,,,,,,,,
2024-06-01 00:25:00,25.28,89.3,2.399,3.116,77.76,14.24,0.0,981.296,-0.001,,,,,,,,,
2024-06-01 00:26:00,25.28,89.5,2.666,3.283,90.4,17.34,0.0,981.285,-0.001,,,,,,,,,
2024-06-01 00:27:00,25.28,89.6,1.53,1.95,89.0,10.26,0.0,981.279,-0.002,,,,,,,,,
2024-06-01 00:28:00,25.28,89.6,0.683,1.316,102.0,21.0,0.0,981.268,-0.002,,,,,,,,,
2024-06-01 00:29:00,25.25,89.5,1.421,2.783,95.8,9.52,0.0,981.232,-0.001,,,,,,,,,
2024-06-01 00:30:00,25.23,89.6,1.807,2.565,102.2,26.98,0.0,981.2,-0.001,,,,,,,,,
2024-06-01 00:31:00,25.23,89.6,2.021,3.266,98.4,16.62,0.0,981.173,-0.001,,,,,,,,,
2024-06-01 00:32:00,25.23,89.8,2.205,2.516,100.3,12.34,0.0,981.139,-0.001,,,,,,,,,
2024-06-01 00:33:00,25.23,89.9,1.802,2.965,99.5,15.45,0.0,981.111,-0.001,,,,,,,,,
2024-06-01 00:34:00,25.19,90.0,1.486,2.632,83.6,23.61,0.0,981.099,-0.001,,,,,,,,,
2024-06-01 00:35:00,25.18,90.0,1.96,3.298,100.0,11.52,0.0,981.1,-0.001,,,,,,,,,
2024-06-01 00:36:00,25.19,90.1,1.974,2.382,107.0,12.58,0.0,981.094,-0.002,,,,,,,,,
2024-06-01 00:37:00,25.19,90.2,1.605,2.582,90.9,13.87,0.0,981.064,-0.001,,,,,,,,,
2024-06-01 00:38:00,25.19,90.2,2.346,3.048,92.8,16.43,0.0,981.034,-0.001,,,,,,,,,
2024-06-01 00:39:00,25.19,90.3,2.691,3.565,90.6,11.17,0.0,981.017,-0.001,,,,,,,,,
2024-06-01 00:40:00,25.19,90.3,2.332,3.648,93.7,16.6,0.0,981.001,-0.001,,,,,,,,,
2024-06-01 00:41:00,25.19,90.4,1.047,1.7,83.8,26.03,0.0,980.992,-0.001,,,,,,,,,
2024-06-01 00:42:00,25.19,90.4,2.283,3.215,103.7,15.91,0.0,980.99,-0.001,,,,,,,,,
2024-06-01 00:43:00,25.19,90.4,2.407,2.95,96.3,29.25,0.0,980.977,0.0,,,,,,,,,
2024-06-01 00:44:00,25.17,90.5,1.595,2.416,88.7,15.97,0.0,980.962,-0.002,,,,,,,,,
2024-06-01 00:45:00,25.14,90.5,1.433,1.715,89.8,15.12,0.0,980.928,-0.001,,,,,,,,,
2024-06-01 00:46:00,25.14,90.5,1.341,2.215,97.5,16.03,0.0,980.937,-0.001,,,,,,,,,
2024-06-01 00:47:00,25.14,90.6,2.535,3.533,103.8,20.04,0.0,980.933,-0.001,,,,,,,,,
2024-06-01 00:48:00,25.14,90.6,1.154,2.283,99.4,14.88,0.0,980.941,-0.001,,,,,,,,,
2024-06-01 00:49:00,25.14,90.5,1.601,1.833,98.7,6.645,0.0,980.956,-0.001,,,,,,,,,
2024-06-01 00:50:00,25.14,90.6,1.569,1.999,84.3,23.55,0.0,980.97,-0.001,,,,,,,,,
2024-06-01 00:51:00,25.13,90.7,0.758,1.216,108.0,12.38,0.0,980.969,-0.001,,,,,,,,,
2024-06-01 00:52:00,25.1,90.7,1.578,2.482,97.9,11.67,0.0,980.952,-0.001,,,,,,,,,
2024-06-01 00:53:00,25.09,90.7,1.411,2.117,76.29,32.8,0.0,980.929,-0.001,,,,,,,,,
2024-06-01 00:54:00,25.1,90.7,1.911,2.465,86.6,13.54,0.0,980.924,-0.001,,,,,,,,,
2024-06-01 00:55:00,25.09,90.8,1.411,3.065,78.12,10.1,0.0,980.91,-0.001,,,,,,,,,
2024-06-01 00:56:00,25.09,90.9,1.202,2.499,87.6,24.94,0.0,980.896,-0.001,,,,,,,,,
2024-06-01 00:57:00,25.09,90.9,1.486,2.249,79.27,19.84,0.0,980.896,-0.001,,,,,,,,,
2024-06-01 00:58:00,25.1,91.0,1.321,2.132,85.9,19.53,0.0,980.883,-0.002,,,,,,,,,
2024-06-01 00:59:00,25.09,91.0,2.2,2.965,84.1,12.8,0.0,980.871,-0.001,,,,,,,,,
2024-06-01 01:00:00,25.1,90.9,2.157,3.565,89.3,20.1,0.0,980.852,-0.001,,,,,,,,,
2024-06-01 01:01:00,25.09,91.0,1.205,2.166,70.98,22.73,0.0,980.817,-0.002,,,,,,,,,
2024-06-01 01:02:00,25.1,91.0,1.807,2.433,69.67,17.26,0.0,980.823,-0.002,,,,,,,,,
2024-06-01 01:03:00,25.06,91.0,1.617,2.332,85.2,9.75,0.0,980.832,-0.001,,,,,,,,,
2024-06-01 01:04:00,25.05,91.0,1.763,2.2,62.89,25.12,0.0,980.828,-0.001,,,,,,,,,
2024-06-01 01:05:00,25.05,91.1,1.209,1.433,75.34,13.72,0.0,980.809,-0.001,,,,,,,,,
2024-06-01 01:06:00,25.05,91.1,1.166,1.632,73.28,30.56,0.0,980.787,-0.001,,,,,,,,,
