Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,RH_flag,WSpeed_flag,WSpeed_max_flag,WDIR_flag,WDIR_avg_flag,Rain_Tot_flag,Rad_flag
2024-08-01 00:00:00,23.84,98.7,0.988,1.699,103.4,13.11,0.0,984.154,-0.002,,,,,,,,
2024-08-01 00:01:00,23.84,98.7,1.0215,1.666,103.3,11.47,0.0,984.1573333333332,-0.002,IP,IP,IP,IP,IP,IP,IP,IP
2024-08-01 00:02:00,23.84,98.7,1.055,1.633,103.2,9.83,0.0,984.1606666666668,-0.002,,,,,,,,
2024-08-01 00:03:00,23.79,98.7,1.205,1.949,110.6,6.173,0.0,984.164,-0.002,,,,,,,,
2024-08-01 00:04:00,23.79,98.7,1.219,1.616,112.5,12.48,0.0,984.145,-0.002,,,,,,,,
2024-08-01 00:05:00,23.79,98.7,1.261,1.616,101.7,9.74,0.0,984.126,-0.001,,,,,,,,
2024-08-01 00:06:00,23.79,98.7,1.283,1.599,106.0,11.22,0.0,984.124,-0.001,,,,,,,,
2024-08-01 00:07:00,23.8,98.7,1.125,1.649,119.3,18.12,0.0,984.14,-0.002,,,,,,,,
2024-08-01 00:08:00,23.79,98.7,1.066,1.2,92.0,10.18,0.0,984.169,-0.001,,,,,,,,
2024-08-01 00:09:00,23.79,98.7,1.63,1.749,100.7,3.306,0.0,984.195,-0.002,,,,,,,,
2024-08-01 00:10:00,23.79,98.7,0.689,1.15,101.1,3.873,0.0,984.202,0.0,,,,,,,,
2024-08-01 00:11:00,23.79,98.7,1.075,1.383,104.6,12.07,0.0,984.209,-0.001,,,,,,,,
2024-08-01 00:12:00,23.79,98.8,1.016,1.566,114.7,8.16,0.0,984.23,-0.002,,,,,,,,
2024-08-01 00:13:00,23.79,98.8,1.349,1.583,107.8,11.38,0.0,984.237,-0.001,,,,,,,,
2024-08-01 00:14:00,23.79,98.8,0.969,1.15,105.9,6.213,0.0,984.256,-0.001,,,,,,,,
2024-08-01 00:15:00,23.79,98.8,0.905,1.2,101.9,8.54,0.0,984.278,-0.002,,,,,,,,
2024-08-01 00:16:00,23.79,98.8,0.98,1.183,102.0,5.122,0.0,984.296,-0.001,,,,,,,,
2024-08-01 00:17:00,23.79,98.8,0.716,0.983,97.3,11.42,0.0,984.304,-0.001,,,,,,,,
2024-08-01 00:18:00,23.79,98.8,0.6545,0.8995,95.85,13.91,0.0,984.3,-0.001,IP,IP,IP,IP,IP,IP,IP,IP
2024-08-01 00:19:00,23.79,98.8,0.593,0.816,94.4,16.4,0.0,984.296,-0.001,,,,,,,,
2024-08-01 00:20:00,23.79,98.8,0.969,1.183,101.8,7.445,0.0,984.292,-0.002,,,,,,,,
2024-08-01 00:21:00,23.79,98.8,0.844,1.183,104.1,19.85,0.0,984.285,-0.001,,,,,,,,
2024-08-01 00:22:00,23.79,98.8,0.927,1.266,101.9,10.91,0.0,984.271,-0.001,,,,,,,,
2024-08-01 00:23:00,23.74,98.8,0.925,1.166,95.3,9.11,0.0,984.248,-0.002,,,,,,,,
2024-08-01 00:24:00,23.75,98.8,0.786,1.0,99.8,11.21,0.0,984.227,-0.002,,,,,,,,
2024-08-01 00:25:00,23.75,98.8,1.108,1.299,95.1,11.37,0.0,984.203,-0.001,,,,,,,,
2024-08-01 00:26:00,23.75,98.8,0.922,1.166,98.3,9.38,0.0,984.175,-0.002,,,,,,,,
2024-08-01 00:27:00,23.75,98.8,0.508,1.016,99.1,0.01,0.0,984.1485,-0.001,,,,,,,,
2024-08-01 00:28:00,23.75,98.8,0.986,1.083,86.9,9.5,0.0,984.122,-0.001,,,,,,,,
2024-08-01 00:29:00,23.74,98.8,1.013,1.15,91.3,10.48,0.0,984.129,-0.001,,,,,,,,
2024-08-01 00:30:00,23.71,98.8,0.93,1.333,83.4,8.77,0.0,984.122,-0.002,,,,,,,,
2024-08-01 00:31:00,23.7,98.8,0.841,0.95,88.8,7.191,0.0,984.107,-0.001,,,,,,,,
2024-08-01 00:32:00,23.7,98.8,0.933,1.216,90.2,7.819,0.0,984.078,-0.001,,,,,,,,
2024-08-01 00:33:00,23.69,98.8,1.144,1.349,86.7,5.841,0.0,984.044,-0.002,,,,,,,,
2024-08-01 00:34:00,23.65,98.8,1.169,1.399,88.6,8.37,0.0,984.019,-0.001,,,,,,,,
2024-08-01 00:35:00,23.65,98.8,1.0095,1.3245,90.1,10.565,0.0,984.021,-0.001,IP,IP,IP,IP,IP,IP,IP,IP
2024-08-01 00:36:00,23.65,98.8,0.85,1.25,91.6,12.76,0.0,984.023,-0.001,,,,,,,,
2024-08-01 00:37:00,23.66,98.8,1.116,1.383,100.8,6.438,0.0,984.025,-0.001,,,,,,,,
2024-08-01 00:38:00,23.65,98.9,1.016,1.416,94.6,8.7,0.0,984.045,-0.002,,,,,,,,
2024-08-01 00:39:00,23.66,98.9,1.097,1.333,98.7,10.97,0.0,984.056,-0.001,,,,,,,,
2024-08-01 00:40:00,23.65,98.9,1.166,1.433,97.7,16.69,0.0,984.072,-0.002,,,,,,,,
2024-08-01 00:41:00,23.65,98.9,1.274,1.533,94.8,6.965,0.0,984.089,-0.001,,,,,,,,
2024-08-01 00:42:00,23.65,98.9,0.952,1.283,98.6,14.95,0.0,984.093,-0.001,,,,,,,,
2024-08-01 00:43:00,23.65,98.9,1.166,1.433,100.2,17.01,0.0,984.084,-0.001,,,,,,,,
2024-08-01 00:44:00,23.66,98.9,1.0535,0.0,92.1,16.445,0.0,984.0595,-0.001,,,,,IP,IP,,
2024-08-01 00:45:00,23.66,98.9,0.941,1.366,84.0,15.88,0.0,984.035,-0.002,,,,,,,,
2024-08-01 00:46:00,23.65,98.9,0.852,1.316,103.8,12.44,0.0,984.042,-0.001,,,,,,,,
2024-08-01 00:47:00,23.66,98.9,0.986,1.283,96.0,7.769,0.0,984.037,-0.001,,,,,,,,
2024-08-01 00:48:00,23.65,99.0,0.85,1.166,95.7,13.81,0.0,984.027,-0.001,,,,,,,,
2024-08-01 00:49:00,23.65,98.9,1.191,1.549,91.4,16.89,0.0,984.002,-0.001,,,,,,,,
2024-08-01 00:50:00,23.65,98.9,1.122,1.516,95.8,22.12,0.0,983.969,-0.001,,,,,,,,
2024-08-01 00:51:00,23.66,99.0,1.041,1.283,91.3,10.79,0.0,983.93,-0.001,,,,,,,,
2024-08-01 00:52:00,23.655,98.95,0.8534999999999999,1.2165,93.35,8.129,0.0,983.9036666666666,-0.001,IP,IP,IP,IP,IP,IP,IP,IP
2024-08-01 00:53:00,23.65,98.9,0.666,1.15,95.4,5.468,0.0,983.8773333333334,-0.001,,,,,,,,
2024-08-01 00:54:00,23.65,98.9,0.789,1.05,84.4,13.11,0.0,983.851,-0.002,,,,,,,,
2024-08-01 00:55:00,23.65,98.9,1.013,1.183,96.5,10.94,0.0,983.848,-0.001,,,,,,,,
2024-08-01 00:56:00,23.66,98.9,0.875,1.2,96.5,5.41,0.0,983.836,-0.001,,,,,,,,
2024-08-01 00:57:00,23.63,99.0,0.644,0.783,94.5,9.97,0.0,983.816,-0.001,,,,,,,,
2024-08-01 00:58:00,23.61,98.9,0.608,0.816,102.2,10.71,0.0,983.809,-0.001,,,,,,,,
2024-08-01 00:59:00,23.61,98.9,0.889,1.133,102.0,12.29,0.0,983.819,-0.001,,,,,,,,
2024-08-01 01:00:00,23.61,98.9,0.725,1.183,105.4,4.156,0.0,983.837,-0.002,,,,,,,,
2024-08-01 01:01:00,23.61,98.95,0.711,1.1415000000000002,99.75,3.6985,0.0,983.819,-0.0015,IP,IP,IP,IP,IP,IP,IP,IP
2024-08-01 01:02:00,23.61,99.0,0.697,1.1,94.1,3.241,0.0,983.801,-0.001,,,,,,,,
2024-08-01 01:03:00,23.58,98.9,0.939,1.166,88.6,4.944,0.0,983.783,-0.001,,,,,,,,
2024-08-01 01:04:00,23.56,98.9,0.769,0.9,99.4,10.93,0.0,983.763,-0.001,,,,,,,,
2024-08-01 01:05:00,23.56,98.9,0.314,0.766,113.3,3.679,0.0,983.753,-0.001,,,,,,,,
2024-08-01 01:06:00,23.55,98.9,0.839,1.066,109.8,11.7,0.0,983.747,-0.001,,,,,,,,
2024-08-01 01:07:00,23.52,98.9,0.444,0.783,107.8,5.004,0.0,983.744,-0.001,,,,,,,,
2024-08-01 01:08:00,23.52,98.9,0.764,1.066,111.1,2.895,0.0,983.732,-0.001,,,,,,,,
2024-08-01 01:09:00,23.52,98.9,0.603,1.1,91.7,12.73,0.0,983.698,-0.001,,,,,,,,
2024-08-01 01:10:00,23.51,98.9,0.466,0.783,84.1,1.774,0.0,983.672,-0.001,,,,,,,,
