Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,WDIR_flag,WDIR_avg_flag
2024-01-01 00:00:00,15.878153967320808,98.1,1.2,1.516,75.23,15.99,0.0,987.732,-0.001,,,
2024-01-01 00:01:00,16.8071327209473,98.0,1.399,1.833,74.71,14.84,0.0,987.728,-0.001,,,
2024-01-01 00:02:00,15.877233990928715,98.0,1.372,1.566,68.48,21.02,0.0,987.731,-0.001,,,
2024-01-01 00:03:00,15.877817305057846,97.9,1.391,1.783,69.63,13.13,0.0,987.736,-0.001,,,
2024-01-01 00:04:00,15.87970284752354,97.9,1.202,1.549,60.04,15.97,0.0,987.735,-0.001,,,
2024-01-01 00:05:00,15.867113081649368,97.8,1.363,2.166,71.57,16.21,0.0,987.731,-0.002,,,
2024-01-01 00:06:00,15.85810970404838,97.7,1.411,1.882,72.71,25.68,0.0,987.727,-0.001,,,
2024-01-01 00:07:00,15.85173416244411,97.7,1.091,1.649,70.53,12.33,0.0,987.724,-0.001,,,
2024-01-01 00:08:00,15.850398034088109,97.6,1.413,2.1,67.23,18.69,0.0,987.708,-0.001,,,
2024-01-01 00:09:00,15.856197275360332,97.6,1.263,1.882,68.71,20.91,0.0,987.7,-0.001,,,
2024-01-01 00:10:00,15.86281011710128,97.5,1.442,2.249,83.7,12.97,0.0,987.686,-0.001,,,
2024-01-01 00:11:00,15.869846124603288,97.4,1.324,2.066,79.26,12.09,0.0,987.675,-0.001,,,
2024-01-01 00:12:00,15.868250485752933,97.4,1.78,2.249,83.3,11.53,0.0,987.66,-0.001,,,
2024-01-01 00:13:00,15.871327204766962,97.4,1.452,1.916,65.4,15.75,0.0,987.653,-0.001,,,
2024-01-01 00:14:00,15.871460466912676,97.4,1.522,2.049,58.4,18.12,0.0,987.644,-0.001,,,
2024-01-01 00:15:00,15.865339759938015,97.4,1.724,2.249,74.17,11.44,0.0,987.651,-0.001,,,
2024-01-01 00:16:00,15.869696496930873,97.3,1.258,1.899,80.4,9.18,0.0,987.651,-0.001,,,
2024-01-01 00:17:00,15.859014483879944,97.2,1.389,2.1,65.44,8.18,0.0,987.66,-0.001,,,
2024-01-01 00:18:00,15.857311300140054,97.1,1.416,1.632,73.58,12.78,0.0,987.665,-0.001,,,
2024-01-01 00:19:00,15.83823844777214,97.1,1.166,1.999,65.43,21.13,0.0,987.666,-0.001,,,
2024-01-01 00:20:00,15.82878268025534,97.1,1.355,1.749,75.6,20.58,0.0,987.664,-0.001,,,
2024-01-01 00:21:00,15.841555973821425,97.1,1.425,2.066,74.54,13.37,0.0,987.659,-0.001,,,
2024-01-01 00:22:00,15.850787299829602,97.1,1.652,1.999,66.91,13.9,0.0,987.655,-0.001,,,
2024-01-01 00:23:00,15.860807678016563,97.1,1.586,2.066,70.9,17.3,0.0,987.66,-0.001,,,
2024-01-01 00:24:00,15.858916290719955,97.1,1.28,1.783,70.89,24.61,0.0,987.661,-0.001,,,
2024-01-01 00:25:00,15.864599804339267,96.9,1.544,2.016,58.98,17.54,0.0,987.662,-0.002,,,
2024-01-01 00:26:00,15.869631034824216,96.8,0.864,1.117,83.1,20.94,0.0,987.646,-0.001,,,
2024-01-01 00:27:00,15.862627758375536,96.7,1.382,2.283,63.51,23.16,0.0,987.632,-0.001,,,
2024-01-01 00:28:00,15.858541052572752,96.7,1.074,1.45,85.3,19.21,0.0,987.614,-0.001,,,
2024-01-01 00:29:00,15.8498953786261,96.6,1.119,1.45,82.1,12.58,0.0,987.6,-0.001,,,
2024-01-01 00:30:00,15.858287386909314,96.6,1.207,1.749,64.04,6.9,0.0,987.591,-0.001,,,
