Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,RH_flag,WDIR_flag,WDIR_avg_flag
2024-02-01 00:00:00,17.188971306461212,93.8,1.231,1.583,249.7,2.001,0.0,987.663,-0.002,LR,IP,,
2024-02-01 00:01:00,17.17992882865383,93.9,1.319,1.549,256.9,3.647,0.0,987.631,-0.002,LR,IP,,
2024-02-01 00:02:00,17.182702376035408,94.0,1.377,1.549,257.4,2.334,0.0,987.599,-0.001,LR,IP,,
2024-02-01 00:03:00,17.17742023742136,94.1,1.525,1.649,265.3,7.482,0.0,987.556,-0.002,LR,IP,,
2024-02-01 00:04:00,17.17093730395206,94.2,1.557,1.7,269.8,3.389,0.0,987.524,-0.002,LR,IP,,
2024-02-01 00:05:00,17.163447197428667,94.3,1.192,1.382,279.4,10.78,0.0,987.505,-0.001,LR,IP,,
2024-02-01 00:06:00,17.157079757665276,94.4,1.202,1.516,276.0,11.02,0.0,987.507,-0.001,LR,IP,,
2024-02-01 00:07:00,17.125814932068312,94.5,1.316,1.683,288.1,14.12,0.0,987.519,-0.001,LR,IP,,
2024-02-01 00:08:00,17.091012262505807,94.6,1.166,1.533,283.9,9.09,0.0,987.537,-0.002,LR,IP,,
2024-02-01 00:09:00,17.064730650636598,94.7,1.345,1.549,285.5,13.02,0.0,987.554,-0.002,LR,IP,,
2024-02-01 00:10:00,17.047342054131747,94.7,1.389,1.6,278.8,17.82,0.0,987.558,-0.002,LR,IP,,
2024-02-01 00:11:00,17.01176999267463,94.7,1.202,1.533,283.9,16.78,0.0,987.549,-0.002,LR,IP,,
2024-02-01 00:12:00,16.995507459803527,94.7,0.964,1.583,280.4,13.78,0.0,987.532,-0.001,LR,IP,,
2024-02-01 00:13:00,16.973884660223206,94.7,0.969,1.333,276.1,17.1,0.0,987.516,-0.001,LR,IP,,
2024-02-01 00:14:00,16.95530376104723,94.9,1.047,1.45,265.4,8.51,0.0,987.501,-0.002,LR,IP,,
2024-02-01 00:15:00,16.943688151406985,95.0,0.928,1.183,260.6,6.756,0.0,987.486,-0.002,LR,IP,,
2024-02-01 00:16:00,16.959488709453908,95.1,0.794,0.916,263.2,6.769,0.0,987.475,-0.002,LR,IP,,
2024-02-01 00:17:00,16.93989384347654,95.3,0.386,0.483,245.3,12.29,0.0,987.466,-0.001,LR,IP,,
2024-02-01 00:18:00,16.93072058603147,95.4,0.92,1.017,255.7,4.827,0.0,987.454,-0.002,LR,IP,,
2024-02-01 00:19:00,16.923522610646817,95.5,0.724,0.966,251.8,2.295,0.0,987.438,-0.002,LR,IP,,
