Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,WDIR_flag,WDIR_avg_flag
2024-04-01 00:00:00,22.81,93.1,3.701,4.116,108.3,6.043,0.0,982.623,-0.001,,
2024-04-01 00:01:00,22.81,93.1,2.78,3.616,108.5,12.72,0.0,982.619,0.0,,
2024-04-01 00:02:00,22.81,93.1,2.56,3.065,119.3,17.15,0.0,982.63,-0.002,,
2024-04-01 00:03:00,22.76,93.2,2.358,2.882,103.0,27.59,0.0,982.618,-0.001,,
2024-04-01 00:04:00,22.76,93.2,1.977,2.849,108.5,15.88,0.0,982.634,-0.001,,
2024-04-01 00:05:00,22.73,93.3,2.416,3.866,109.0,13.01,0.0,982.627,-0.001,,
2024-04-01 00:06:00,22.72,93.4,2.82,3.881,110.2,11.53,0.0,982.634,-0.001,,
2024-04-01 00:07:00,22.71,93.5,3.162,3.631,105.7,11.66,0.0,982.623,-0.001,,
2024-04-01 00:08:00,22.69,93.6,3.415,4.349,98.6,18.29,0.0,982.639,-0.001,,
2024-04-01 00:09:00,22.67,93.6,2.096,2.849,105.3,9.14,0.0,982.642,-0.002,,
2024-04-01 00:10:00,22.67,93.6,3.055,3.849,99.7,9.25,0.0,982.638,-0.001,,
2024-04-01 00:11:00,22.66,93.6,2.402,3.182,100.5,24.47,0.0,982.644,-0.002,,
2024-04-01 00:12:00,22.62,93.7,2.249,3.499,96.0,30.16,0.0,982.631,-0.001,,
2024-04-01 00:13:00,22.63,93.8,2.474,3.283,112.4,8.98,0.0,982.609,-0.001,,
2024-04-01 00:14:00,22.62,93.8,1.061,2.132,81.7,13.13,0.0,982.582,-0.001,,
2024-04-01 00:15:00,22.58,93.7,2.205,3.866,124.7,24.89,0.0,982.556,-0.002,,
2024-04-01 00:16:00,22.58,93.8,2.849,3.482,112.3,15.0,0.0,982.532,-0.001,,
2024-04-01 00:17:00,22.53,94.1,2.938,3.516,108.1,15.94,0.0,982.505,-0.002,,
2024-04-01 00:18:00,22.53,94.1,1.522,2.649,111.0,17.48,0.0,982.464,-0.002,,
2024-04-01 00:19:00,22.53,94.1,2.844,3.815,116.0,13.36,0.0,982.453,-0.001,,
2024-04-01 00:20:00,22.53,94.2,3.283,4.381,109.8,11.36,0.0,982.418,-0.001,,
2024-04-01 00:21:00,22.54,94.2,3.368,4.315,111.8,10.59,0.0,982.401,-0.002,,
2024-04-01 00:22:00,22.53,94.2,3.876,4.714,112.3,12.04,0.0,982.381,-0.001,,
2024-04-01 00:23:00,22.53,94.2,2.1,2.882,100.9,23.56,0.0,982.383,-0.002,,
2024-04-01 00:24:00,22.53,94.2,2.083,3.465,95.4,18.3,0.0,982.37,-0.002,,
2024-04-01 00:25:00,22.49,94.2,2.293,3.283,116.6,13.81,0.0,982.377,-0.002,,
2024-04-01 00:26:00,22.49,94.2,1.652,2.215,107.4,26.7,0.0,982.386,-0.001,,
2024-04-01 00:27:00,22.48,94.3,2.666,3.332,109.4,15.2,0.0,982.399,-0.001,,
2024-04-01 00:28:00,22.44,94.4,3.201,3.766,109.5,12.77,0.0,982.417,-0.002,,
2024-04-01 00:29:00,22.44,94.5,2.052,2.433,117.3,16.1,0.0,982.409,-0.001,,
2024-04-01 00:30:00,22.44,94.5,2.011,2.616,118.4,13.53,0.0,982.414,-0.001,,
2024-04-01 00:31:00,22.4,94.5,2.355,2.866,113.9,7.223,0.0,982.386,-0.001,,
2024-04-01 00:32:00,22.4,94.6,2.411,3.715,100.4,10.61,0.0,982.36,-0.001,,
2024-04-01 00:33:00,22.39,94.7,3.266,3.981,121.1,15.12,0.0,982.337,-0.001,,
2024-04-01 00:34:00,22.39,94.8,3.541,4.199,110.5,11.71,0.0,982.305,-0.001,,
2024-04-01 00:35:00,22.4,94.8,3.208,4.748,107.4,12.35,0.0,982.274,-0.002,,
2024-04-01 00:36:00,22.4,94.8,2.241,3.116,107.2,11.14,0.0,982.28,-0.001,,
2024-04-01 00:37:00,22.37,94.8,2.625,3.631,116.1,13.76,0.0,982.27,-0.002,,
2024-04-01 00:38:00,22.35,94.8,3.232,4.616,100.8,11.74,0.0,982.261,-0.001,,
2024-04-01 00:39:00,22.35,94.9,3.315,4.282,114.2,13.24,0.0,982.278,-0.002,,
2024-04-01 00:40:00,22.35,94.9,3.131,4.714,123.6,13.08,0.0,982.278,-0.001,,
2024-04-01 00:41:00,22.35,94.9,2.485,3.033,110.1,12.26,0.0,982.268,-0.001,,
2024-04-01 00:42:00,22.33,94.9,1.732,2.132,113.1,12.37,0.0,982.271,-0.001,,
2024-04-01 00:43:00,22.3,95.0,3.038,4.998,110.8,10.83,0.0,982.26,-0.001,,
2024-04-01 00:44:00,22.3,95.1,2.963,3.932,106.1,14.48,0.0,982.237,-0.001,,
2024-04-01 00:45:00,22.31,95.1,2.237,2.916,108.8,17.76,0.0,982.244,-0.001,,
2024-04-01 00:46:00,22.3,95.1,3.135,3.932,110.6,3.313,0.0,982.261,-0.001,,
2024-04-01 00:47:00,22.3,95.1,2.829,3.131,107.3,20.45,0.0,982.263,-0.001,,
2024-04-01 00:48:00,22.28,95.1,2.635,4.565,108.9,10.76,0.0,982.26,-0.001,,
2024-04-01 00:49:00,22.26,95.2,2.193,2.849,123.2,10.78,0.0,982.273,-0.001,,
2024-04-01 00:50:00,22.26,95.2,3.215,4.315,121.1,6.18,0.0,982.248,-0.001,,
2024-04-01 00:51:00,22.26,95.2,2.737,3.315,107.4,21.42,0.0,982.246,-0.001,,
2024-04-01 00:52:00,22.25,95.2,2.329,2.649,108.2,8.61,0.0,982.244,-0.001,,
2024-04-01 00:53:00,22.26,95.2,2.783,3.182,111.5,15.18,0.0,982.239,-0.001,,
2024-04-01 00:54:00,22.22,95.3,2.305,2.749,113.4,17.07,0.0,982.214,-0.001,,
2024-04-01 00:55:00,22.21,95.3,2.222,2.749,101.1,12.58,0.0,982.188,-0.002,,
2024-04-01 00:56:00,22.21,95.4,2.693,3.915,103.9,10.51,0.0,982.153,-0.001,,
2024-04-01 00:57:00,22.21,95.5,3.624,4.231,104.2,15.72,0.0,982.13,-0.002,,
2024-04-01 00:58:00,22.21,95.5,2.669,3.499,105.6,12.31,0.0,982.12,-0.001,,
2024-04-01 00:59:00,22.21,95.5,2.451,2.899,105.4,12.97,0.0,982.119,-0.001,,
2024-04-01 01:00:00,22.2,95.5,2.701,3.266,116.2,13.76,0.0,982.112,-0.001,,
2024-04-01 01:01:00,22.17,95.5,3.205,4.214,112.4,17.27,0.0,982.104,-0.001,,
2024-04-01 01:02:00,22.17,95.5,3.783,4.865,112.9,9.49,0.0,982.106,-0.001,,
2024-04-01 01:03:00,22.17,95.6,2.746,3.298,95.3,11.31,0.0,982.108,-0.001,,
2024-04-01 01:04:00,22.16,95.6,2.749,3.565,110.7,9.51,0.0,982.098,-0.001,,
2024-04-01 01:05:00,22.17,95.6,3.121,3.815,113.6,14.99,0.0,982.094,-0.001,,
2024-04-01 01:06:00,22.17,95.6,3.13,4.131,102.9,24.51,0.0,982.087,-0.001,,
2024-04-01 01:07:00,22.13,95.6,2.263,3.266,112.8,19.77,0.0,982.087,-0.002,,
